*錒 *锕
*鑵 *罐

*鸛 *鹳

*輄 *𨐈

*廣 *广

*獷 *犷

*規 *规

*媯 *妫

*嫢 *

*閨 *闺

*嬀 *妫

*槼 *规

*鮭 *鲑

*龜 *龟

*歸 *归

*瓌 *瑰

*鬹 *鬶

*軌 *轨

*匭 *匦

*詭 *诡

*貴 *贵

*劊 *刽

*劌 *刿

*槶 *椢

*櫃 *柜

*鱖 *鳜

*袞 *衮

*滾 *滚

*緄 *绲

*輥 *辊

*鮌 *鲧

*鯀 *鲧

*咼 *呙

*堝 *埚

*鍋 *锅

*蟈 *蝈

*囯 *国

*國 *国

*幗 *帼

*摑 *掴

*漍 *

*膕 *腘

*菓 *果

*槨 *椁

*餜 *馃

*過 *过

*鉿 *铪

*駭 *骇

*頇 *顸

*圅 *函

*韓 *韩

*猂 *悍

*釬 *焊

*閈 *闬

*漢 *汉

*銲 *焊

*頷 *颔

*絎 *绗

*頏 *颃

*獋 *嗥

*蠔 *蚝

*號 *号

*皜 *皓

*顥 *颢

*灝 *灏

*訶 *诃

*咊 *和

*郃 *合

*盇 *盍

*閡 *阂

*頜 *颌

*闔 *阖

*齕 *龁

*覈 *核

*鶡 *鹖

*賀 *贺

*鶴 *鹤

*詪 *

*恆 *恒

*橫 *横

*鴴 *鸻

*轟 *轰

*紅 *红

*紘 *纮

*葒 *荭

*閎 *闳

*鉷 *𫟹

*鋐 *

*鴻 *鸿

*黌 *黉

*嗊 *唝

*訌 *讧

*鬨 *哄

*餱 *糇

*後 *后

*鮜 *鲘

*鱟 *鲎

*虖 *呼

*軤 *轷

*嘑 *呼

*謼 *呼

*壺 *壶

*衚 *胡

*餬 *糊

*鬍 *胡

*鶘 *鹕

*滸 *浒

*戶 *户

*沍 *冱

*滬 *沪

*護 *护

*鱯 *鳠

*鸌 *鹱

*芲 *花

*蘤 *花

*華 *华

*嘩 *哗

*譁 *哗

*鏵 *铧

*驊 *骅

*畫 *画

*嬅 *

*話 *话

*劃 *划

*樺 *桦

*嫿 *婳

*懷 *怀

*壞 *坏

*懽 *欢

*歡 *欢

*貛 *獾

*驩 *

*綄 *

*還 *还

